"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OP","6595","Queens","144-10 Jamaica Ave","Jamaica","NY","11435","3624","Mr. Luis Ventura LMSW","luis.ventura@samaritanvillage.org","7182061990","","Outpatient Services","Outpatient Clinic","7182061990","","Y","","","Mental Health","","","338 Forbell Street","Brooklyn","11208","Kings"
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OP R","53550","Queens","144-10 Jamaica Ave","Jamaica","NY","11435","3624","Mr. Luis Ventura LMSW","luis.ventura@samaritanvillage.org","7182061990","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OTP","52532","Queens","130-20 89th Rd","Richmond Hill","NY","11418","","Ms. Erica Rosa","erica.rosa@samaritanvillage.org","7184418913","","Opioid Treatment","Opioid Outpatient Treatment","","","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. SRR 1","53515","Queens","130-20 89th Rd","Richmond Hill","NY","11418","","Hannah Horsford","hannah.horsford@samaritanvillage.org","7184418913","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. SRR 2","53586","Queens","88-83 Van Wyck Expy","Jamaica","NY","11435","4144","Tawana Spriggs LMSW","tawana.spriggs@samaritanvillage.org","7186578010","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"South Richmond Hill Recovery, LLC","49820","88-08 Liberty Avenue","Ozone Park","Queens","NY","11417","","South Richmond Hill Recovery, LLC OP","53167","Queens","88-08 Liberty Ave","Ozone Park","NY","11417","1329","Mr. John J Saith","jsaith@srhrny.com","9294993420","","Outpatient Services","Outpatient Clinic","9294993420","","Y","","","","","","","","",""
"St. Joseph's Hospital, Yonkers","81050","127 S Broadway","Yonkers","Westchester","NY","10701","4006","Queens Opioid Treatment Clinic OTP","52569","Queens","175-20 Hillside Ave","Jamaica","NY","11432","5773","Ms. Michele Poole CASAC","mpoole@svwsjmc.org","7185587240","","Opioid Treatment","Opioid Outpatient Treatment","7185587230","","","","","","","","","","",""
"The PAC Program of Queens","44510","40-06 Warren Street","Elmhurst","Queens","NY","11373","","The PAC Program OP","51997","Queens","40-6 Warren St","Elmhurst","NY","11373","2084","Mr. Daniel Cruz CASAC","dcruz@thepacprogram.com","7187296868","","Outpatient Services","Outpatient Clinic","7187296868","","Y","","","","","","","","",""
"820 River St., Inc.","35210","428 Duane Ave","Schenectady","Schenectady","NY","12304","","820 River St., Inc. RRi","53809","Rensselaer","111-113 2nd Ave","Troy","NY","12180","","Desiree Benjamin","desiree.benjamin@pyhit.org","5184783138","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Troy House RR","53811","Rensselaer","504 2nd Ave","Troy","NY","12182","","Belinda Peters CASAC","bpeters@theacca.net","5184070562","","Residential Services","820 Rehab and Reintegration","","","","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park, Inc. OP 2","51826","Rensselaer","2435 6th Ave","Troy","NY","12180","2227","Mr. Todd Monahan CASAC","TMonahan@libertymgt.com","5182745143","","Outpatient Services","Outpatient Clinic","5182745143","","Y","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park, Inc. OTP 2","53060","Rensselaer","2435 6th Ave","Troy","NY","12180","2227","Mr. Todd Monahan CASAC","TMonahan@libertymgt.com","5182745143","","Opioid Treatment","Opioid Outpatient Treatment","5182745143","","Y","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Elizabeth House CR","53455","Rensselaer","106-108 9th St","Troy","NY","12180","","Victoria Lewis CASAC","vlewis@hopehouseinc.org","5182720206","3304","Residential Services","Community Residential","5184868973","","","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Outpatient Clinic Troy OP","53454","Rensselaer","1724 5th Ave","Troy","NY","12180","","Jennifer Mansky LMSW","jmansky@hopehouseinc.org","5182723918","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Hope House Troy Supportive Living","53456","Rensselaer","559-565 6th Ave","Troy","NY","12182","","Davida Cancer CASAC","dcancer@hopehouseinc.org","5182379891","","Residential Services","Supportive Living","5182720206","","","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hospital - SPARC IP","53821","Rensselaer","1300 Massachusetts Ave","Troy","NY","12180","","Ms. Kristin Hansen CASAC","kristin.hansen@sphp.com","5182685941","","Inpatient Treatment Services","Inpatient Rehabilitation","5182685807","","","","","","","","","","",""
"Amethyst House Inc.","31330","220 Heberton AVe","Staten Island","Richmond","NY","10302","","Amethyst House, Inc. RRi","53672","Richmond","220 Heberton Ave","Staten Island","NY","10302","1415","Tamara Levin","tlevin@amethysthouse.net","3474414100","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Bridge Back to Life Center, Inc.","2050","1065 Stewart Ave Suite 101","Bethpage","Nassau","NY","11714","3637","Bridge Back to Life Ctr Inc. OP","6094","Richmond","1688 Victory Blvd","Staten Island","NY","10314","3547","Ms. Kalliope Angelos-Caceres","kalli@bridgebacktolife.com","3476455658","","Outpatient Services","Outpatient Clinic","3476455658","","Y","","","","","","","","",""
"Camelot of Staten Island, Inc.","12030","4442 Arthur Kill Rd","Staten Island","Richmond","NY","10309","1321","Camelot of Staten Island, Inc. OP","1687","Richmond","1268 Forest Ave","Staten Island","NY","10302","","Ms. Christina A Perez CASAC","cperez@camelotcounseling.com","7189818117","","Outpatient Services","Outpatient Clinic","7189818117","","Y","","","","","","","","",""
"Camelot of Staten Island, Inc.","12030","4442 Arthur Kill Rd","Staten Island","Richmond","NY","10309","1321","Camelot of Staten Island, Inc. SRR","53213","Richmond","460H Brielle Ave","Staten Island","NY","10314","","Ms. Allison Ameneiros CASAC","aameneiros@camelotcounseling.com","7188166589","","Residential Services","820 Stabil Rehab Reintegration","","","Y","","","","","","","","",""
"Camelot of Staten Island, Inc.","12030","4442 Arthur Kill Rd","Staten Island","Richmond","NY","10309","1321","Camelot of Staten Island, Inc. SRR","53541","Richmond","273 Heberton Ave","Staten Island","NY","10302","","Troy Schaffer CASAC","tschaffer@camelotcounseling.com","7189818117","","Residential Services","820 Stabil Rehab Reintegration","","","Y","","","","","","","","",""
"Christopher's Reason","46430","4521 Arthur Kill Rd","Staten Island","New York","NY","10309","","Christopher's Reason OP","53241","Richmond","4521 Arthur Kill Rd","Staten Island","NY","10309","","ann Marie Perrotto","aperrotto@resourcetraining.org","7186051989","10","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Grand Union Holistic Solutions, LLC","51950","1150 South Ave","Staten Island","Richmond","NY","10314","","Grand Union Holistic Solutions OP","53706","Richmond","1150 South Ave","Staten Island","NY","10314","","Drucilla Williams","Drucillawilliams4@gmail.com","6462714523","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Project Hospitality, Inc.","19900","100 Park Ave","Staten Island","Richmond","NY","10302","1440","PREP SRh","53232","Richmond","75 Vanderbilt Ave","Staten Island","NY","10304","","Mr. Gary Siegel LCSW","gsiegel@projecthospitality.org","7183546585","","Residential Services","820 Stabil and Rehab","","","","","","","","","","","",""
"Project Hospitality, Inc.","19900","100 Park Ave","Staten Island","Richmond","NY","10302","1440","Project Hospitality, Inc. OP","51157","Richmond","14 Slosson Ter","Staten Island","NY","10301","","Ms. Laura Novacek LCSW","lnovacek@projecthospitality.org","3477333643","","Outpatient Services","Outpatient Clinic","3477333643","","Y","","","","","","350 St. Mark's Place","Staten Island","10301","Richmond"
"Richmond University Medical Center","45720","355 Bard Avenue","Staten Island","Richmond","NY","10310","","Richmond University Medical Center OP1","52125","Richmond","1130 South Ave","Staten Island","NY","10314","3410","Miss Ileana Acosta MA","iacosta@rumcsi.org","7188186970","","Outpatient Services","Outpatient Clinic","7188186970","","Y","","Y","","","","","","",""
"Richmond University Medical Center","45720","355 Bard Avenue","Staten Island","Richmond","NY","10310","","Richmond University Medical Center OP2","53050","Richmond","1130 South Ave","Staten Island","NY","10314","3410","Ms. Krystal Findley LMSW","iacosta@rumcsi.org","7188185302","","Outpatient Services","Outpatient Clinic","7188186974","","Y","","Y","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Staten Island Outreach Center OP","52771","Richmond","1915 Forest Ave","Staten Island","NY","10303","","Mrs. Lauren Batthany","lauren.batthany@samaritanvillage.org","7189813136","","Outpatient Services","Outpatient Clinic","7189813136","","Y","","","Mental Health","","","","","",""
"Silver Lake Support Services, Inc.","41860","201 Forest Ave","Staten Island","Richmond","NY","10301","","Silver Lake Support Services, Inc. OP","51829","Richmond","201 Forest Ave","Staten Island","NY","10301","2763","Dana Davino","ddavino@silverlakebehavioralhealth.com","7188153155","","Outpatient Services","Outpatient Clinic","7188153155","","Y","","","","","","797 Brighton Avenue","Staten Island","10301","Richmond"
"South Beach Addiction Treatment Center","90012","777 Seaview Ave","Staten Island","Richmond","NY","10305","","South Beach ATC IP","50748","Richmond","777 Seaview Ave","Staten Island","NY","10305","","Mrs. Nadia Huntley-Smith LCSW","nadia.huntley-smith@oasas.ny.gov","3478840251","","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","Y","","","","","","",""
"Staten Island University Hospital","85200","475 Seaview Ave","Staten Island","Richmond","NY","10305","3436","Staten Island University Hosp. OTP","304","Richmond","392 Seguine Ave","Staten Island","NY","10309","","Ms. Joanne Asparro","JASPARRO@northwell.edu","7182263815","","Opioid Treatment","Opioid Outpatient Treatment","7182262808","3819","Y","","","","","","","","",""
"Staten Island University Hospital","85200","475 Seaview Ave","Staten Island","Richmond","NY","10305","3436","Staten Island University Hosp. OTP 1","944","Richmond","111 Water St","Staten Island","NY","10304","2709","Mr. Conrad Bernardo RN","cbernardo@northwell.edu","7182264990","7406","Opioid Treatment","Opioid Outpatient Treatment","7182264990","7406","Y","","","","","","","","",""
"Staten Island University Hospital","85200","475 Seaview Ave","Staten Island","Richmond","NY","10305","3436","Staten Island University Hospital OP","51422","Richmond","450 Seaview Ave","Staten Island","NY","10305","","Mrs. Maria Manning LCSW","mmanning3@northwell.edu","7182262752","","Outpatient Services","Outpatient Clinic","7182262753","","Y","","","","","","","","",""
"Sun River Health","34370","1037 Main Street","Peekskill","Westchester","NY","10566","2913","Bay Street 822 Program OP","53300","Richmond","56 Bay St","Staten Island","NY","10301","2563","Mrs. Joanne Vaccaro CSW-R","jvaccaro@sunriver.org","7188081468","1468","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"YMCA of Greater New York","20860","5 W 63rd St","New York","New York","NY","10023","","Staten Island YMCA Cnsling Service OP","7209","Richmond","3911 Richmond Ave","Staten Island","NY","10312","","Mrs. JoAnne McKernan","jmckernan@ymcanyc.org","7189483232","","Outpatient Services","Outpatient Clinic","7189483232","","Y","","","","","","285 Vanderbilt Avenue","Staten Island","10304","Richmond"
"Bikur Cholim, Inc.","20470","25 Robert Pitt Dr","Monsey","Rockland","NY","10952","3366","Bikur Cholim, Inc. OCCBHC","53775","Rockland","25 Robert Pitt Dr","Monsey","NY","10952","3366","Aron Reiner","reinera@bccbh.org","8454257877","123","Outpatient Services","Crtfd Cmty Behavioral Hlth Clnc","","","","","","OMH Hosted","","","","","",""
"Blaisdell Addiction Treatment Center","90007","140 Old Orangeburg Rd","Orangeburg","Rockland","NY","10962","1129","Blaisdell Addiction Treatment Cntr IP","50735","Rockland","140 Old Orangeburg Rd","Orangeburg","NY","10962","1129","Ms. Alicia Sosa CASAC","alicia.sosa@oasas.ny.gov","8457923790","","Inpatient Treatment Services","Inpatient Rehabilitation","8459254632","","Y","","Y","","","","","","",""
"Good Samaritan Hospital of Suffern, NY","85370","255 Lafayette Ave","Suffern","Rockland","NY","10901","","Good Samaritan Hospital IP","6972","Rockland","255 Lafayette Ave","Suffern","NY","10901","","Ms. Tera Colavito LCSW","tera.colavito@wmchealth.org","8452747341","","Inpatient Treatment Services","Inpatient Rehabilitation","8453766801","","","","","","","","","","",""
"Good Samaritan Hospital of Suffern, NY","85370","255 Lafayette Ave","Suffern","Rockland","NY","10901","","Good Samaritan Hospital MMD","4494","Rockland","255 Lafayette Ave","Suffern","NY","10901","","Ms. Tera Colavito LCSW","tera.colavito@wmchealth.org","8452747341","","Crisis Services","Medical Managed Detoxification","","","","","","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Lexington Center for Recovery  OP 4","52137","Rockland","100 Route 59","Airmont","NY","10952","","Mrs. Julia June-Schembari LCSW","jjuneschembari@lexingtonctr.org","8453699701","1122","Outpatient Services","Outpatient Clinic","8453699701","1122","Y","","Y","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Lexington Center for Recovery OP R","52140","Rockland","100 Route 59","Airmont","NY","10952","3841","Mrs. Julia June-Schembari LCSW","jjuneschembari@lexingtonctr.org","8453699701","1122","Outpatient Services","Outpatient Rehabilitation","8453699701","1122","Y","","Y","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Lexington Center for Recovery RRi","53901","Rockland","4 Emerald Ln","Montebello","NY","10901","","Mr. Aaron Zitouni LMSW","azitouni@lexingtonctr.org","8454299514","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Lexington Center for Recovery,Inc RRi1","53889","Rockland","74 Hudson Ave","Haverstraw","NY","10927","","Mr. Aaron Zitouni LMSW","azitouni@lexingtonctr.org","8457869227","2401","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Lexington Cntr for Recovery, Inc. OP 5","52154","Rockland","45 S Route 9W","West Haverstraw","NY","10993","1021","Ms. Sarah Owens LCSW","sowens@lexingtonctr.org","8459473810","1603","Outpatient Services","Outpatient Clinic","8459473810","1603","Y","","","","","","","","",""
"Lexington Center for Recovery, Inc.","34200","2875 Route 35","Katonah","Westchester","NY","10536","3181","Rockland Medication Assisted Trt OTP","52646","Rockland","706 Executive Blvd","Valley Cottage","NY","10989","2038","Ms. Sue Wilson","swilson@lexingtonctr.org","8453623904","1701","Opioid Treatment","Opioid Outpatient Treatment","8453623904","1701","Y","","","","","","","","",""
"Montefiore Nyack Hospital","83100","160 N Midland Ave","Nyack","Rockland","NY","10960","1912","Montefiore Nyack Hospital MMD","51030","Rockland","160 N Midland Ave","Nyack","NY","10960","1912","Deborah Zerner","dzerner@montefiorenyack.org","8453486775","","Crisis Services","Medical Managed Detoxification","8453482072","","Y","","","","","","","","",""
"Montefiore Nyack Hospital","83100","160 N Midland Ave","Nyack","Rockland","NY","10960","1912","Montefiore Nyack Hospital OP","51650","Rockland","312 Route 59","Central Nyack","NY","10960","","Deborah Zerner","dzerner@montefiorenyack.org","8453486775","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Montefiore Nyack Hospital","83100","160 N Midland Ave","Nyack","Rockland","NY","10960","1912","The Recovery Center IP","51031","Rockland","160 N Midland Ave","Nyack","NY","10960","","Deborah Zerner","dzerner@montefiorenyack.org","8453486775","","Inpatient Treatment Services","Inpatient Rehabilitation","8453482072","","Y","","","","","","","","",""
"Open Arms, Incorporated","34360","57-59 Sharp St","Haverstraw","Rockland","NY","10927","1521","Open Arms, Incorporated SL","51524","Rockland","57-59 Sharp St","Haverstraw","NY","10927","1521","Aaron Zitouni","azitouni@lexingtonctr.org","8452713787","","Residential Services","Supportive Living","","","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Rockland Outreach Center OP","52930","Rockland","620 Route 303","Blauvelt","NY","10913","","Daniel Sullivan","daniel.sullivan@samaritanvillage.org","8453532730","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Rockland Outreach Center OP R","53103","Rockland","620 Route 303","Blauvelt","NY","10913","","Daniel Sullivan","daniel.sullivan@samaritanvillage.org","8453532730","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. OTP3","53657","Rockland","620 Route 303","Blauvelt","NY","10913","","Daniel Sullivan","daniel.sullivan@samaritanvillage.org","8453532730","","Opioid Treatment","Opioid Outpatient Treatment","","","","","","Mental Health","","","","","",""
"Gouverneur Hospital","50540","77 W Barney St","Gouverneur","Saint Lawrence","NY","13642","1040","Gouverneur Hospital OP","53281","Saint Lawrence","77 W Barney St","Gouverneur","NY","13642","","Ms. HEATHER RICH","heather.rich@rochesterregional.org","3152616333","","Outpatient Services","Outpatient Clinic","","","Y","","","","","Y","","","",""
"North Country Freedom Homes Inc.","36160","25 Dies St","Canton","Saint Lawrence","NY","13617","1306","Canton House CR","50499","Saint Lawrence","25 Dies St","Canton","NY","13617","1306","Mrs. Jennifer E Elliott CASAC","jbarron@ncfreedomhomes.org","3153790139","104","Residential Services","Community Residential","3153790139","100","Y","","","","","","","","",""
"North Star Industries","40410","31 6th Street","Malone","Franklin","NY","12953","","North Star Industries OP 2","53633","Saint Lawrence","1003 Park St","Ogdensburg","NY","13669","3911","KAITLYN GERVAIS","kaitlyngervais@citizenadvocates.net","5186512311","","Outpatient Services","Outpatient Clinic","5184833261","","","","","OMH Hosted","","","","","",""
"Rochester Regional Health","83110","50 Leroy St","Potsdam","Saint Lawrence","NY","13676","1786","Chemical Dependency Services IP","51183","Saint Lawrence","20 Cottage St","Pottsdam","NY","13676","","Ms. Emily Marquart","emily.marquart@rochesterregional.org","3152653300","2300","Inpatient Treatment Services","Inpatient Rehabilitation","","","","","","","","Y","","","",""
"Rochester Regional Health","83110","50 Leroy St","Potsdam","Saint Lawrence","NY","13676","1786","Rochester Regional Health OP","51737","Saint Lawrence","12 Elm St","Potsdam","NY","13676","","Ms. Emily Marquart","emily.marquart@rochesterregional.org","3153532572","8278","Outpatient Services","Outpatient Clinic","","","Y","","","","","Y","","","",""
"St. Joseph's Addiction Treatment & Rec","35160","159 Glenwood Dr","Saranac Lake","Franklin","NY","12983","2385","Rose Hill RRSY 1","53063","Saint Lawrence","100 County Route 43","Massena","NY","13662","","Ms. Nicole King CASAC","nking@stjoestreatment.org","3157649700","5239","Residential Services","Residential Rehab for Youth","3157649700","","Y","","","","","Y","","","",""
"St. Lawrence Addiction Treatment Ctr","90005","1 Chimney Point Drive","Ogdensburg","Saint Lawrence","NY","13669","2291","St. Lawrence ATC IP","50730","Saint Lawrence","1 Chimney Point Dr","Ogdensburg","NY","13669","2291","William Coppola","william.coppola@oasas.ny.gov","3153931180","","Inpatient Treatment Services","Inpatient Rehabilitation","3153936602","","Y","","Y","","","","","","",""
"St. Lawrence County Community Srvs Bd","70700","80 State Highway 310","Canton","Saint Lawrence","NY","13617","1493","St Lawrence CoAddictSrvs Ogdensburg OP","51417","Saint Lawrence","206 Ford St","Ogdensburg","NY","13669","","Ms. Sheena T Smith","shsmith@stlawco.org","3153862167","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"St. Lawrence County Community Srvs Bd","70700","80 State Highway 310","Canton","Saint Lawrence","NY","13617","1493","St. Lawrence Co. Addict Srvs Canton OP","50188","Saint Lawrence","80 State Highway 310","Canton","NY","13617","","Ms. Sheena T Smith","shsmith@stlawco.org","3153862167","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"St. Lawrence County Community Srvs Bd","70700","80 State Highway 310","Canton","Saint Lawrence","NY","13617","1493","St.Lawrence Co Community Srvs Bd OTP","53606","Saint Lawrence","80 State Highway 310","Canton","NY","13617","","Ms. Sheena T Smith","shsmith@stlawco.org","3153862189","","Opioid Treatment","Opioid Outpatient Treatment","","","","","","","","","","","",""
"RISE Housing and Support Services, Inc","50590","127 Union St","Saratoga Springs","Saratoga","NY","12866","4411","Hedgerow House Apartment Program RRi","53629","Saratoga","994 Rte 67","Ballston Spa","NY","12020","3603","Ms. Julianne Thomas CASAC","jthomas@riseservices.org","5188853872","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"RISE Housing and Support Services, Inc","50590","127 Union St","Saratoga Springs","Saratoga","NY","12866","4411","Hedgerow House RRi","53320","Saratoga","994 Rte 67","Ballston Spa","NY","12020","","Ms. Julianne Thomas CASAC","jthomas@riseservices.org","5188853872","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Saratoga County Community Svcs Board","70840","135 S Broadway","Saratoga Springs","Saratoga","NY","12866","","Saratoga Co Alc/Substance Abuse OP","50759","Saratoga","135 S Broadway","Saratoga Springs","NY","12866","4532","Ms. Meghan K Riihimaki","mriihimaki@saratogacountyny.gov","5185878800","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"St. Peter's Hospital City of Albany","83060","3 Mercycare Ln","Guilderland","Saratoga","NY","12084","3504","St. Peter's Hosp City of Albany OP 1","50928","Saratoga","125 High Rock Ave","Saratoga Springs","NY","12866","","Mr. William Bean","William.Bean@sphp.com","5188856884","4257","Outpatient Services","Outpatient Clinic","5188856884","4257","Y","","","","","","","","",""
"The Saratoga Hospital","87070","211 Church St","Saratoga Springs","Saratoga","NY","12866","","Saratoga Com Hlth Ctr Addiction Med OP","53269","Saratoga","24 Hamilton St","Saratoga Springs","NY","12866","4226","Ms. Ann Hutchison","AHutchison@saratogahospital.org","5188865606","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park MSW-IP","3814","Schenectady","79 Glenridge Rd","Glenville","NY","12302","4523","Ms. Leslee L Negus LMSW","Lnegus@libertymgt.com","5189528354","","Crisis Services","Med Sup Withdrawal - Inpatient","5189528456","","Y","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park, Inc. IP","50849","Schenectady","79 Glenridge Rd","Glenville","NY","12302","4523","Ms. Leslee L Negus LMSW","Lnegus@libertymgt.com","5189528354","","Inpatient Treatment Services","Inpatient Rehabilitation","5189528456","","Y","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park, Inc. OP 3","51828","Schenectady","600 Franklin St","Schenectady","NY","12305","2107","Ms. Darcel Fauntleroy CASAC","DFauntleroy@libertymgt.com","5183727031","","Outpatient Services","Outpatient Clinic","5183997031","","Y","","","","","","","","",""
"Conifer Park, Inc.","14770","79 Glenridge Rd","Glenville","Schenectady","NY","12302","4523","Conifer Park, Inc. OTP 3","53233","Schenectady","600 Franklin St","Schenectady","NY","12305","2107","Ms. Darcel Fauntleroy CASAC","DFauntleroy@libertymgt.com","5183727031","","Opioid Treatment","Opioid Outpatient Treatment","5183997031","","Y","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","Bridge Center RRi","53546","Schenectady","72 Union Ave","Schenectady","NY","12308","2430","Shane Waldron","swaldron@newchoicesrecovery.org","5183487974","","Residential Services","820 Residential Reintegration","5183464436","","","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","Georgia S. Perrin House RRi","53547","Schenectady","575 Lansing St","Schenectady","NY","12303","","Martina Deeb","mdeeb@newchoicesrecovery.org","5183464509","","Residential Services","820 Residential Reintegration","5183464436","","","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","Margaret T. Smith House RRi","53549","Schenectady","834 Emmett St","Schenectady","NY","12307","","Michael Fontaine","swaldron@newchoicesrecovery.org","5183487974","","Residential Services","820 Residential Reintegration","5183464436","","","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","New Choices Recovery Center OP","50332","Schenectady","728 State St","Schenectady","NY","12307","1206","Victoria Gorman","vgorman@newchoicesrecovery.org","5183464436","","Outpatient Services","Outpatient Clinic","5183464436","","Y","","Y","","","Y","122 Park Avenue","Schenectady","12304","Schenectady"
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","New Choices Recovery Center OP 1","52777","Schenectady","840 State St","Schenectady","NY","12307","","Ana Housser","ahousser@newchoicesrecovery.org","5183827838","","Outpatient Services","Outpatient Clinic","5183827838","","Y","","Y","","","Y","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","New Choices Recovery Center OP R","51966","Schenectady","728 State St","Schenectady","NY","12307","1206","Victoria Gorman","vgorman@newchoicesrecovery.org","5183464436","","Outpatient Services","Outpatient Rehabilitation","5183464436","","Y","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","New Choices Recovery Center OTP","53628","Schenectady","840 State St","Schenectady","NY","12307","","Colleen Parent","cparent@newchoicesrecovery.org","5183827838","","Opioid Treatment","Opioid Outpatient Treatment","5183827838","","","","","","","","","","",""
"New Choices Recovery Center","35060","728 State St","Schenectady","Schenectady","NY","12307","1206","Purcell House RRi","53548","Schenectady","406-408 Summit Ave","Schenectady","NY","12307","","Hashim Nuraldin","swaldron@newchoicesrecovery.org","5183487974","","Residential Services","820 Residential Reintegration","5183464436","","","","","","","","","","",""
